Название,Оценка Film.ru,Оценка IMDb,Оценка пользователей,Год,Жанр,Страна,время,режиссер,сценарий,премьера,бюджет,сборы,кинопрокат,производство,другие названия,ссылки,режиссеры,длительность
Побег из Шоушенка,10,9.3,6.8,1994,драма,США,1 час 48 минут,Фрэнк Дарабонт,Фрэнк Дарабонт,24.10.2019 (РФ),25000000 $,$28 341 469 (США),Иноекино,Castle Rock Entertainment,"Sueños de libertad, Die Verurteilten, Shoushenkden Qacish, Изкуплението Шоушенк, Um Sonho de Liberdade, À l'ombre de Shawshank, Sueños de Libertad, Sueños de fuga, Xiao shen ke de jiu shu, Vykoupení z veznice Shawshank, En verden udenfor, Shawshanki lunastus, Cadena perpetua, Cadena perpètua, Avain pakoon, Rita Hayworth - Avain pakoon, Rita Hayworth - avain pakoon, Rita Hayworth - nyckel till flykten, Shawshank Redemption - Avain pakoon, Les évadés, Gaqceva shoushenkidan, Teleftaia exodos: 'Rita Hayworth', Τελευταία έξοδος: Ρίτα Χέιγουορθ, Iskupljenje u Shawshanku, A remény rabjai, Homot Shel Tikva, Rastgari Dar Shawshank, Le ali della libertà, Shôshanku no sora ni, Sueño de fuga, De ontsnapping, Frihetens regn, Skazani na Shawshank, Os Condenados de Shawshank, Inchisoarea Ingerilor, Închisoarea îngerilor, Bekstvo iz Šošenka, Nyckeln till frihet, Kaznilnica odresitve, Vykúpenie z väznice Shawshank, Esaretin Bedeli, Втеча з Шоушенка, Rita Hayworth and the Shawshank Redemption, Sueño de libertad, Nhà tù Shawshank, Sueño de Libertad, Выкупленьне з Шаўшэнку, 肖申克的救赎, Vykoupení z věznice Shawshank, Les Évadés, 月黑高飛, Rastegari dar Shawshank, ショーシャンクの空に, Pabėgimas iš Šoušenko, The Prisoner, Бекство из Шошенка, Kaznilnica odrešitve, 刺激1995, Shawshank Mittraphap Khwamwang Khwamrunraeng, Rita Hayworth and Shawshank Redemption, Shoushenkdan qochish",,,
Криминальное чтиво,10,8.9,6.4,1994,драма,триллер,2 часа 34 минуты,Квентин Тарантино,Роджер Эйвери,29.09.1995 (РФ),8000000 $,$107 928 762 (США),Иноекино,"Miramax, A Band Apart, Jersey Films","Tiempos violentos, Kriminal Qirayet, Криминале, Pulp Fiction: Tempo de Violência, Fiction pulpeuse, Pulp Fiction: Tiempos violentos, Pulp Fiction - Tarinoita väkivallasta, Pulp Fiction: Tarinoita väkivallasta, Makulatura, Pakleni šund, Ponyvaregény, Sifrut Zolla, Ghesse-haye Amme Psandaneh, Bulvarinis skaitalas, Lubene, Petparačke priče, Sund, Pulp Fiction: Historky z podsvetia, Ucuz Roman, Кримiнальне чтиво, Black Mask,",Сайт фильма,,
Молчание ягнят,10,8.6,7.4,1991,драма,триллер,1 час 58 минут,Джонатан Демме,Тед Толли,16.09.2021 (РФ),19000000 $,$130 742 922 (США),Иноекино,"Strong Heart, Demme Production, Orion Pictures","Das Schweigen der Lдmmer, Il silenzio degli innocenti, El silencio de los inocentes, Das Schweigen der Lämmer, Мълчанието на агнетата, O Silêncio dos Inocentes, Le silence des agneaux, Mlcanie jahniat, Mlcení jehnátek, Ondskabens øjne, Voonakeste vaikimine, El silenci dels anyells, El silencio de los corderos, När lammen tystnar, Uhrilampaat, Kravta dumili, I siopi ton amnon, Η σιωπή των αμνών, Kad jaganjci utihnu, A bárányok hallgatnak, Hitsujitachi no Chinmoku, Avineliu tylejimas, De schreeuw van het lam, Nattsvermeren, Milczenie owiec, Tacerea mieilor, Ko jagenjcki obmolknejo, Kuzularin Sessizligi, Мовчання ягнят, Silence of the Lambs, Su Im Lang Cua Bay Cuu, 沉默的羔羊, Mlčení jehňátek, Mlčanie jahniat, Somt alhemlan, Le Silence des agneaux, Sokout-e barreha, 羊たちの沈黙, Avinėlių tylejimas, Tăcerea mieilor, Кад јагањци утихну, Ko jagenjčki obmolknejo, Ammahit Mai Ngiap, Kuzuların Sessizliği, Qo'zichoqlar sukunati, Sự Im Lặng Của Bầy Cừu",,,
Унесенные призраками,10,8.6,8.1,2001,мультфильмы,приключения,2 часа 5 минут,Хаяо Миядзаки,Хаяо Миядзаки,31.12.2002 (РФ),1900000000 $,$10 055 859 (США),Централ Партнершип,"Tokuma Shoten, Studio Ghibli, Nippon Television Network (NTV), Dentsu, Buena Vista Home Entertainment, Tohokushinsha Film Corporation (TFC), Mitsubishi","Spirited Away, Chihiros Reise ins Zauberland, La cittа incantata, Miyazaki's Spirited Away, Sen, Sen and the Mysterious Disappearance of Chihiro, Spirited Away, The Spiriting Away of Sen and Chihiro, Sen to Chihiro no kamikakushi, El viaje de Chihiro, Ruhlarin Qaçisi, Le voyage de Chihiro, Отнесена от духовете, A Viagem de Chihiro, Cesta do fantazie, Chihiro og heksene, Vaimudest viidud, Chihiroren bidaia, El viatge de Chihiro, Henkien kätkemä, Diakopes sti hora ton thavmaton, Taxidi sti hora ton thavmaton, Ταξίδι στη χώρα των θαυμάτων, Avanture male Chihiro, Chihiro szellemországban, The Wonderful Journey, Shahre Ashbah, La città incantata, Sen-gwa Chihiro-ui Haeng-Bang-Bulmyeong, Stebuklingi Sihiros nuotykiai dvasiu pasaulyje, De reis van Chihiro, Spirited Away: W krainie bogów, Calatoria lui Chihiro, Začarani grad, Čudežno potovanje, Cesta do fantázie, Ruhlarin Kaçisi, Вiднесенi привидами, 千与千寻, Gömd av andar, 千與千尋, Sen to Chihiro No Kamikakushi, 千と千尋の神隠し, Stebuklingi Šihiros nuotykiai dvasių pasaulyje, Călătoria lui Chihiro, Зачарани град, 神隱少女, Miti Winyan Mahatsachan, Ruhların Kaçışı, Віднесені привидами, Ruhlarda qolgan hislarim, Vùng Đất Linh Hồn, स्पिरिटेड अवे",Официальный сайт (англ.),,
Назад в будущее,10,8.5,6.8,1985,комедия,приключения,1 час 48 минут,Роберт Земекис,Боб Гейл,10.12.2020 (РФ),19000000 $,$210 609 762 (США),Иноекино,"Universal Pictures, Amblin Entertainment, U-Drive Productions","Volver al futuro, Завръщане в бъдещето, De Volta para o Futuro, Retour vers le futur, Návrat do budoucnosti, Návrat do budúcnosti, Zurück in die Zukunft, Tilbage til fremtiden, Tagasi tulevikku, Regreso al futuro, Retorn al futur, Paluu tulevaisuuteen, Tillbaka till framtiden, Epistrofi sto mellon, Επιστροφή στο μέλλον, Povratak u buducnost, Povratak u budućnost, Vissza a jövőbe, Behazara La'Ateed, Aftur til framtíðar, Ritorno al futuro, Atgal i ateiti, Terug naar de toekomst, Tilbake til fremtiden, Powrót do przyszłości, Regresso ao Futuro, Inapoi in viitor, Vrnitev v prihodnost, Gelecege Dönüs, Al Aoda ela Al Mostkbal, 回到未來, Bazgasht be ayandeh, バック・トゥ・ザ・フューチャー, Atpakaļ nākotnē, Atgal į ateitį, Înapoi în viitor, Повратак у будућност, Geleceğe Dönüş, Назад у майбутнє, Kelajakka qaytib, Trở Lại Tương Lai",,,
Леон,10,8.5,7.3,1994,драма,триллер,1 час 50 минут,Люк Бессон,Люк Бессон,14.09.1994 (мир),115000000 $,$19 501 238 (США),,"Gaumont, Les Films du Dauphin","Leon - Der Profi, Léon: The Professional, Leon: The Professional, The Professional, Léon, El perfecto asesino, Леон, O Profissional, Le professionnel, Léon - Der Profi, El profesional, Léon: Profesionalac, Léon, a profi, Leonas, Léon zawodowiec, Léon, o Profissional, Profesionalac, Sevginin Gücü",,,
Принцесса Мононоке,10,8.3,7.4,1997,мультфильмы,приключения,2 часа 14 минут,Хаяо Миядзаки,Нил Гейман,24.06.2010 (РФ),21000000 $,,Ruscico,"DENTSU Music And Entertainment, Nibariki, Nippon Television Network (NTV), Studio Ghibli, TNDG, Tokuma Shoten","Princess Mononoke, La princesa Mononoke, Princesse Mononoké, Принцеса Мононоке, Princesa Mononoke, Princezna Mononoke, Prinzessin Mononoke, Prinsesse Mononoke, Printsess Mononoke, Prinsessa Mononoke, Prigipissa Mononoke, Πριγκίπισσα Μονονόκε, Princeza Mononoke, A vadon hercegnője, Principessa Mononoke, Princese Mononoke, Ksiezniczka Mononoke, A Princesa Mononoke, Printesa Mononoke, Prinsessan Mononoke, Prenses Mononoke, Công Chúa Mononoke, Mononoke-hime, 幽靈公主, Raajakumaaree Mononoke, Rajakumari Meaneaneakk, Shahzade Mononoke, もののけ姫, Princesė Mononokė, Księżniczka Mononoke, Prințesa Mononoke, Принцеза Мононоке, Princezná Mononoke, 魔法公主, Chaoying Chit Winyan Haeng Phong Phrai, Malika Mononoke, 幽灵公主, राजकुमारी मोनोनोके",,,
Красота по-американски,10,8.3,6.1,1999,драма,США,1 час 42 минуты,Сэм Мендес,Алан Болл,22.03.2000 (РФ),15000000 $,$130 096 601 (США),,"Dreamworks Pictures, Jinks, Cohen Company","American Beauty, Belleza americana, Американски прелести, Beleza Americana, Beauté américaine, Americká krása, Tabamatu ilu, Vrtlog života, Amerikai szépség, Amerikos grozybes, Američka lepota, Lepota po ameriško, Amerikan Güzeli, Краса по-американськи, Ve Dep My, 美国丽人, 美麗有罪, अमेरिकन ब्युटी, Zibaei-e amricaei, アメリカン・ビューティー, Amerikos grožybės, Frumusețe americană, Америчка лепота, 美國心玫瑰情, Amerikancha go'zallik, Vẻ Đẹp Mỹ",,,
Вечное сияние чистого разума,10,8.3,6.5,2004,драма,мелодрама,1 час 43 минуты,Мишель Гондри,Пьер Бисмут,29.04.2004 (РФ),20000000 $,$34 400 301 (США),Парадиз,"Focus Features, Anonymous Content, This Is That Productions","Eterno resplandor de una mente sin recuerdos, Vergiss mein nicht!, Silinmish yaddashin ebedi pariltisi, Блясъкът на чистия ум, Brilho Eterno de uma Mente Sem Lembranças, Du soleil plein la tête, Vecný svit neposkvrnené mysli, Vergiss mein nicht, Evigt solskin i et pletfrit sind, Karge meele igavene sära, ¡Olvídate de mí!, Tahraton mieli, I aionia liakada enos katharou myalou, Η αιώνια λιακάδα ενός καθαρού μυαλού, Ljubav za sva vremena, Vječni sjaj nepobjedivog uma, Egy makulátlan elme örök ragyogása, Shemesh nitzhit be'rosh tzaloul, Eilíft sólskin hins flekklausa hugar, Se mi lasci ti cancello, Etânaru sanshain, Jausmu galia, Evig solskinn i et plettfritt sinn, Zakochany bez pamieci, O Despertar da Mente, Stralucirea eterna a mintii neprihanite, Večni sjaj besprekornog uma, Vecno sonce brezmadeznega uma, Vecný svit neposkvrnenej mysle, Sil Bastan, Вiчне сяйво чистого розуму, Tia Nang Vinh Cuu Cua Tam Hon Tinh Khiet, Brilho Eterno de uma Mente sem Lembranças, Věčný svit neposkvrněné mysli, En obefläckad själ, Η Αιώνια Λιακάδα ενός Καθαρού Μυαλού, Derakhshesh-e abadi-e yek zehn-e pak, エターナル・サンシャイン, Gaišo atmiņu mūžīgais starojums, Jausmų galia, Zakochany bez pamięci, Strălucirea eternă a minții neprihănite, Вечни сјај беспрекорног ума, Večný svit nepoškvrnenej mysle, Večno sonce brezmadežnega uma, 王牌冤家, Lop Thoe Hai Mai Luem, Sil Baştan, Вічне сяйво чистого розуму, G'uborsiz aqlning abadiy yorug'ligi, Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết","Официальный сайт (англ.)Лауреаты и номинанты на премию ""Оскар""-2005",,
Унесенные ветром,10,8.2,7.6,1939,драма,исторический,3 часа 41 минута,,  ...,15.12.1939 (мир),3977000 $,,,"Selznick International Pictures, Metro-Goldwyn-Mayer (MGM)","Via col vento, Vom Winde verweht, Lo que el viento se llevó, Autant en emporte le vent, Gejaagd door de wind, Отнесени от вихъра, ...E o Vento Levou, Jih proti Severu, Odviate vetrom, Borte med blæsten, Tuulest viidud, Allò que el vent s'endugué, Foise co vento, Borta med vinden, Tuulen viemää, Osa pairnei o anemos, Όσα παίρνει ο άνεμος, Zameo ih vjetar, Elfújta a szél, Bar Bad Rafte, Kaze to tomo ni sarinu, Tatt av vinden, Przeminelo z wiatrem, E Tudo o Vento Levou, Pe Aripile Vantului, Prohujalo sa vihorom, V vrtincu, Унесенные ветром, Rüzgar gibi geçti, Вiднесенi вiтром, Prohujalo s vihorom, 乱世佳人, Zahab-a ma'a alreeh, 亂世佳人, 風と共に去りぬ, Vėjo nublokšti, Przeminęło z wiatrem, Pe aripile vântului, Прохујало са вихором, Rüzgâr gibi geçti, Віднесені вітром, Shamollarda qolgan hislarim, Cuốn Theo Chiều Gió",,Сэм Вуд,
Мой сосед Тоторо,10,8.1,6.5,1988,мультфильмы,комедия,1 час 26 минут,Хаяо Миядзаки,Хаяо Миядзаки,20.03.2008 (РФ),,,Ruscico,"Tokuma Japan Communications, Studio Ghibli, Nibariki","Il mio vicino Totoro, Mein Nachbar Totoro, My Neighbor Totoro, My Neighbour Totoro, Tonari no Totoro, Mi vecino Totoro, Моят съсед Тоторо, Meu Amigo Totoro, Mon voisin Totoro, Min nabo Totoro, Minu naaber Totoro, El meu veí Totoro, Naapurini Totoro, Näkymätön ystävä, Η γειτονιά του δάσους: Οι περιπέτειες του Τοτόρο, Moj susjed Totoro, Szomszédom, Totoro, Totoro - A varázserdő titka, Yi-ut-jip Totoro, Mano kaimynas Totoro, Mój sasiad Totoro, O Meu Vizinho Totoro, Totoro, Vecinul meu Totoro, Moj sused Totoro, Magiska äventyr med Totoro, Min granne Totoro, Komsum Totoro, Мiй сусiд Тоторо, Hàng Xóm Totoro, 龙猫, Můj soused Totoro, Tonari No Totoro, Jaaduee Dost Totoro, Magic Friend Totoro, となりのトトロ, Mój sąsiad Totoro, Мој комшија Тоторо, Môj sused Totoro, 龍貓, Komşum Totoro, Мій сусід Тоторо, Qo'shnim Totoro, Hàng Xóm Của Tôi Là Totoro",Страница аниме на сайте Anime News Network (англ.),,
Фарго,10,8.1,6.5,1996,драма,триллер,1 час 57 минут,,Джоэл Коэн,08.03.1996 (мир),7000000 $,$24 611 975 (США),,"PolyGram Filmed Entertainment, Working Title Films","Фарго, Fargo - Uma Comédia de Erros, Fargo - Blutiger Schnee, Fâgo, Fargo, secuestro voluntario, Fargo: Comédia de Erros, Fargo: Uma Comédia de Erros, Fargo: Blutiger Schnee, ファーゴ, 冰血暴, Фарґо, 雪花高離奇命案",,Итан Коэн,
Бешеный бык,10,8.1,6.5,1980,биографический,драма,1 час 54 минуты,Мартин Скорсезе,  ...,13.11.1980 (мир),18000000 $,,,Chartoff-Winkler Productions,"The Raging Bull, Toro scatenato, Wie ein wilder Stier, Toro salvaje, Разяреният бик, Touro Indomável, Comme un taureau sauvage, Toro Salvaje, Zurící býk, Raging Bull - Tyren fra Bronx, Toro salvatge, Kuin raivo härkä, Tjuren från Bronx, Orgismeno eidolo, Οργισμένο είδωλο, Razjareni bik, Dühöngő bika, Den rasende oksen, Wsciekly byk, O Touro Enraivecido, Taurul furios, Pobesneli bik, Razjarjeni bik, Kizgin Boga, Скажений бик, 愤怒的公牛, Zuřící býk, Althawr alghazeb, Raevunud härg, Gav-e khashmgin, レイジング・ブル, Įsiutęs bulius, Wściekły byk, Разјарени бик, 蠻牛, Kızgın Boğa, Quturgan buqa, Bò Đực Nổi Điên",,,
Звуки музыки,10,8.1,7,1965,биографический,драма,2 часа 52 минуты,Роберт Уайз,  ...,02.03.1965 (мир),8200000 $,,,"Robert Wise Productions, Argyle Enterprises","Meine Lieder, meine Trдume, Rodgers and Hammerstein's The Sound of Music, Tutti insieme appassionatamente, La novicia rebelde, Meine Lieder, meine Träume, Звукът на музиката, A Noviça Rebelde, La mélodie du bonheur, La Novicia Rebelde, Yin Yue Zhi Sheng, Za zvuku hudby, Helisev muusika, Somriures i llàgrimes, Sonrisas y lágrimas, Sound of Music, Sound of Music - laulava Trappin perhe, The Sound of Music - laulava Trappin perhe, I melodia tis eftyhias, Η μελωδία της ευτυχίας, Moje pjesme, moji snovi, A muzsika hangja, Muzikos garsai, Dzwieki muzyki, Música no Coração, Sunetul muzicii, Moje pesme, moji snovi, Moje pesmi, moje sanje, Звуки музыки, Neseli günler, 音乐之声, 仙樂飄飄處處聞, Ashkha va labkhandha, サウンド・オブ・ミュージック, Mūzikas Skaņas, Dźwięki muzyki, Моје песме, моји снови, Za zvukov hudby, 真善美, Neşeli günler, Звуки музики, Rodgers and Hammerstein's the Sound of Music, Giai Điệu Hạnh Phúc",,,
Выживший,10,8,7,2015,боевик,вестерн,2 часа 36 минут,Алехандро Гонсалес Иньярриту,Michael Punke,07.01.2016 (РФ),135000000 $,$183 637 894 (США),Двадцатый Век Фокс СНГ,"Regency Enterprises, RatPac Entertainment, New Regency Pictures, Anonymous Content, M Productions, Appian Way, Alpha Pictures, CatchPlay, Taiwanese Revenant, Alpha Pictures (II), Bona Film Group, Monarchy Enterprises S.a.r.l.","Revenant: El Renacido, Завръщането, O Regresso, The Revenant - Der Rückkehrer, El renacido, A visszatérő, Revenant - Redivivo, El Renacido, The Revenant: El Renacido, Zjawa, The Revenant: O Renascido, Povratnik, Dirilis, Le revenant, REVENANT Zmrtvýchvstání, Mees, kes jäi ellu, Η επιστροφή, Haish Shnolad Mehadash, レヴェナント　蘇えりし者, Cilvēks, kurš izdzīvoja, Hju Glaso legenda, The Revenant: Legenda lui Hugh Glass, Повратник, Revenant Zmŕtvychvstanie, 神鬼獵人, Diriliş, Легенда Г'ю Ґласса, Người Về Từ Cõi Chết",Сайт фильмаСайт фильма,,
Небесный замок Лапута,10,8,6.9,1986,мультфильмы,приключения,2 часа 5 минут,Хаяо Миядзаки,Джонатан Свифт,26.08.2021 (РФ),,,Ruscico,"Tokuma Shoten, Studio Ghibli","Tenkû no shiro Rapyuta, El castillo en el cielo, Das Schloss im Himmel, Laputa: The Castle in the Sky, Лапута: Замъкът в небето, O Castelo no Céu, Laputa - Slottet i himlen, El castell al cel, Laputa - linna taivaalla, Laputa - slottet i himlen, Le château dans le ciel, Laputa: Castle in the Sky, To kastro ston ourano, Το κάστρο στον ουρανό, Laputa - Az égi palota, Il castello nel cielo, Laputa - Himmelslottet, Laputa - podniebny zamek, Zamak na nebu, Gökteki kale, Небесний замок Лапута, Laputa, Castle in the Sky Laputa, Laputa: Nebeský zámek, Le Château dans le ciel, 天空之城, Tenkuu no Shiro Laputa, 天空の城ラピュタ, Dangaus pilis Laputa, Laputa: Zámok v oblakoch, Laputa: Pils Debesīs, Laputa: Lâu đài trên không",Страница аниме на сайте Anime News Network (англ.),,
Чунгкингский экспресс,10,8,6.3,1994,драма,комедия,1 час 42 минуты,Вонг Кар-Вай,Вонг Кар-Вай,21.06.2021 (онлайн),,,Иноекино,Jet Tone Production,"Chung Hing sam lam, Chungking Jungle, Amores Expressos, To dasos tou Chung King, Chongqing senlin, Chung King Express, Csungking expressz, Hong Kong Express, Koi suru Wakusei, Chung King ekspres, Чунгкiнський експрес, Trung Khanh Sam Lam, Chung Hing Sam Lam, 重庆森林, Το Δάσος του Chungking, 重慶森林, 恋する惑星, Čiongčingo ekspresas, Čanking ekspres, Chungking Ekspresi, Чунцінський експрес, Chinching Samlam, Trùng Khánh Sâm Lâm",Страница фильма на сайте HK Cinema,,
Любовь,10,7.9,6.2,2012,драма,Франция,2 часа 7 минут,Михаэль Ханеке,Михаэль Ханеке,25.10.2012 (РФ),8900000 $,$6 739 492 (США),Другое Кино,"Les Films du Losange, X-Filme Creative Pool, Wega Film, France 3 Cinéma, ARD Degeto Film, Bayerischer Rundfunk (BR), Westdeutscher Rundfunk (WDR)","Liebe, Любов, Amor, Armastus, Rakkaus, Love, Agapi, Αγάπη, Ljubav, Szerelem, Ahava, Ai, Amûru, Ljubov, Milosc, Ljubezen, Ask, 爱, 愛、アムール, Meilė, Miłość, Iubire, Љубав, 愛．慕, Aşk",Сайт фильма,,
Артист,10,7.9,6.4,2011,драма,комедия,1 час 40 минут,Мишель Хазанавичус,Мишель Хазанавичус,14.02.2012 (РФ),15000000 $,80 769 895 руб. (РФ),Вольга,"Studio 37, La Petite Reine, La Classe Américaine, JD Prod, France 3 Cinéma, Jouror Productions, uFilm, Canal+, CinéCinéma, France Télévisions, Tax Shelter du Gouvernement Fédéral Belge","El artista, Артистът, O Artista, L'artiste, Umelec, Artist, Umjetnik, A némafilmes, Ha'artist, Artistas, Artysta, Artistul, Glumac, Umetnik, Beauty Spot, 艺术家, アーティスト, Mākslinieks, Глумац, 大藝術家, Nghệ Sĩ","Сайт фильма ""Артист""",,
Бесподобный мистер Фокс,10,7.9,6.6,2009,мультфильмы,комедия,1 час 27 минут,Уэс Андерсон,Ноа Баумбак,14.10.2009 (мир),40000000 $,$21 002 919 (США),Двадцатый Век Фокс СНГ,"Twentieth Century Fox Film Corporation, Indian Paintbrush, Regency Enterprises, American Empirical Pictures, Twentieth Century Fox Animation","El fantástico Sr. Zorro, Фантастичният господин Фокс, O Fantástico Sr. Raposo, Fantastique Maître Renard, Der fantastische Mr. Fox, Fantastiline härra Reinuvader, Fantástico Sr. Fox, Kekseliäs kettu, O apithanos kyrios Fox, Fantastični gospodin Lisac, A fantasztikus Róka úr, Lieliskais Lapsas Kungs, Den fantastiske Mikkel Rev, Fantastyczny Pan Lis, O Fantástico Senhor Raposo, Den fantastiska räven, Cudoviti lisjak, Yaman Tilki,",,,
Призрак в доспехах,10,7.9,5.5,1995,мультфильмы,боевик,1 час 23 минуты,Мамору Осии,Масамунэ Сиро,18.11.1995 (мир),600000000 $,,,"Bandai Visual Company, Kôdansha, Production I.G.","Ghost in the Shell, Shell Mobile Force, O Fantasma do Futuro, Aaveääni, Ghost in the Shell - aaveääni, Páncélba zárt szellem, Szellem a kagylóban, Duch w pancerzu, Ghost in the Shell: Cidade Assombrada, Duh v skoljki, Armored Riot Police,",Страница аниме на сайте Anime News Network (англ.),,
Симеон-пустынник,10,7.9,7.1,1965,драма,Мексика, 44 минуты,Луис Бунюэль,Хулио Алехандро,,,,,,"Симеон-столпник, Simon of the Desert",,,
Вся президентская рать,10,7.9,6.9,1976,биографический,драма,2 часа 5 минут,Алан Дж. Пакула,Уильям Голдмен,04.04.1976 (мир),8500000 $,,,Wildwood Enterprises,"Alle Manner des Prasidenten, Die Unbestechlichen, Tutti gli uomini del presidente, All the President's Men, Todos los hombres del presidente, Todos os Homens do Presidente, Цялото президентско войнство, Les hommes du président, Svi predsjednikovi ljudi, Alle præsidentens mænd, Alle Männer des Präsidenten, Presidentin miehet, Alla presidentens män, Όλοι οι άνθρωποι του προέδρου, Az elnök emberei, Daitôryô no Inbô, 大統領の陰謀, Visa prezidento kariauna, Alle presidentens menn, Wszyscy ludzie prezydenta, Os Homens do Presidente, Toți oamenii președintelui, Сви председникови људи, Vsi predsednikovi možje, Вся президентская рать, Vsya prezidentskaya rat', 大陰謀, Başkanın Bütün Adamları, Уся президентська рать, Todos los hombres del Presidente, Svi predsednikovi ljudi",,,
Ирландец,10,7.8,6.3,2019,биографический,драма,3 часа 30 минут,Мартин Скорсезе,Стивен Зеллиан,27.09.2019 (мир),,,,"Fábrica de Cine, STX Entertainment, Sikelia Productions, Tribeca Productions","I Heard You Paint Houses, Airis, El irlándes, O Irlandês, Ο Ιρλανδός, L'irlandese, El irlandés, Iрландець",,,
Манускрипт ниндзя,10,7.8,6.5,1993,мультфильмы,боевик,1 час 34 минуты,,Ёсиаки Кавадзири,05.06.1993 (мир),,,,"Animaze, Madhouse, Movic, Toho Company, Victor Company of Japan (JVC)","Ninja Scroll, Ninja scroll: Edición especial 10º aniversario, Juubee Ninpuuchou, Ninja Scroll: O Mercenário, Jubei Ninpocho: The Wind Ninja Chronicles, Jubei the Wind Ninja,",,Кевин Сеймур,
Шепот сердца,10,7.8,6.6,1995,мультфильмы,драма,1 час 51 минута,Ёсифуми Кондо,  ...,22.01.2009 (РФ),,,Ruscico,"Tokuma Shoten, Nippon Television Network (NTV), Hakuhodo, Studio Ghibli","If You Listen Closely, Susurros del corazón, Si tu tends l'oreille, Sussurros do Coração, Stimme des Herzens, Hjertets hvisken, Südame sosin, Murmuris del cor, Sydämen kuiskaus, O psithyros tis kardias, Šapat srca, A könyvek hercege, I sospiri del mio cuore, Whisper of the Heart, Szept serca, O Sussuro do Coração, Шёпот сердца, Om du lyssnar noga, Mimi wo sumaseba, 侧耳倾听, Šepot srdce, Südamesosin, Dil Kee Kaanaaphoosee, दिल की कानाफूसी, Mimi Wo Sumaseba, Bisikan Hati, 耳をすませば, Širdies šnabždesys, O Sussurro do Coração, Se Ouvires Atentamente, Soapte din inima, Šepot srdca, 心之谷, Шепіт серця, Якщо прислухатись, Lời Thì Thầm Của Trái Tim",Страница аниме на сайте Anime News Network (англ.),,
Все о моей матери,10,7.8,7.3,1999,драма,Испания,1 час 41 минута,Педро Альмодовар,Педро Альмодовар,08.04.1999 (мир),,$8 272 296 (США),,"El Deseo, Renn Productions, France 2 Cinéma, Vía Digital","All About My Mother, Todo sobre mi madre, Tudo Sobre Minha Mãe, Всичко за майка ми, Sve o mojoj majci, Alt om min mor, Kaikki äidistäni, Tout sur ma mère, Alles über meine Mutter, Ola gia ti mitera mou, Όλα για τη μητέρα μου, Mindent anyámról, Hamechiz Darbareye Madaram, Ha-Kol Odot Eema, Tutto su mia madre, Viss par manu mammu, Viskas apie mano mamą, Wszystko o mojej matce, Tudo Sobre a Minha Mãe, Vse o moji materi, Allt om min mamma, Annem hakkinda her sey, Все про мою матiр",,,
Крамер против Крамера,10,7.8,7.9,1979,драма,США,2 часа 13 минут,Роберт Бентон,Роберт Бентон,17.12.1979 (мир),,,,"Columbia Pictures, Stanley Jaffe Production","Kramer Versus Kramer, Kramer contro Kramer, Kramer gegen Kramer, Kramer tegen Kramer, Крамър срещу Крамър, Kramer contre Kramer, Kramer mod Kramer, Kramer contra Kramer, Kramer vastaan Kramer, Kramer enantion Kramer, Κράμερ εναντίον Κράμερ, Kramer protiv Kramera, Kramer kontra Kramer, Kramer Neged Kramer, Kramer, Kramer, Kamer pries Krameri, Kramer mot Kramer, Sprawa Kramerów, Kramer Contra Kramer, Kramer proti Kramerju, Крамер против Крамера, Kramer Kramer'e karsi, Kramerová verzus Kramer, Kramerová versus Kramer, Kramer zedda Kramer, Kramer Krameri vastu, Κράμερ Εναντίον Κράμερ, Kremar Banaam Kremar, Kramer alaihe Kramer, クレイマー、クレイマー, Kramer prieš Krameri, 克拉瑪對克拉瑪, Kramer Kramer'e karşı, Крамер проти Крамера, Kramer Kramerga qarshi",,,
Калина красная,10,7.7,7.4,1974,драма,СССР,1 час 30 минут,Василий Шукшин,Василий Шукшин,25.03.1974 (мир),,,,"Mosfilm, Pervoe Tvorcheskoe Obedinenie","El árbol rojo, Kalina Krassnaja, Roter Holunder, Punainen heisipuu, L'obier rouge, I kokkini simyda, Vörös kányafa, Viburno rosso, Putinas raudonasis, Kalina czerwona, Călina roşie, En kåkfarares öde, The Red Snowball Tree",,,
