Название,Оценка Film.ru,Оценка IMDb,Оценка пользователей,Год,Жанр,Страна,время,режиссер,сценарий,премьера,бюджет,сборы,кинопрокат,производство,другие названия,ссылки,режиссеры,длительность
Мистер Штайн идет в онлайн,8,6.3,6.5,2017,комедия,мелодрама,1 час 39 минут,Стефан Робели,Стефан Робели,24.08.2017 (РФ),,2 333 895 руб. (РФ),Russian World Vision,"Ici et Là Productions, Detailfilm, Compagnie Cinématographique, La, Panache Productions, Orange Studio, Schortcut Films, Radio Télévision Belge Francophone (RTBF), VOO, BE TV, Gasmia Film, MMC Movies, The Post Republic, Chaussee SoundVision, Film- und Medienstiftung NRW, Filmförderungsanstalt (FFA), Centre national du cinéma et de l'image animée (CNC), Medienboard Berlin-Brandenburg, Filmförderung Hamburg Schleswig-Holstein, Memento Films International, Neue Visionen Filmverleih, La Belle Company, Frenetic Films, Filmladen, Deutscher Filmförderfonds (DFFF), Tax Shelter du Gouvernement Fédéral Belge, Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles","Мистер Штейн идет в онлайн, #Flora63, Monsieur Pierre geht online, Amor.com, Um Perfil Para Dois, Flora 63, Ένα προφίλ για δυο, A magas ősz férfi társat keres, Un profilo per due, Mr. Stein Goes Online, Un profil pour deux, Мистър Щайн е онлайн, Amor en Línea, Pan Stein Je Online, Un Profil pour deux, Mar Stein On-line, Amor en línea, Podwójny profil, Dois é Demais... Ou Talvez Não!, Un profil pentru doi, En lugar del Sr. Stein, Містер Штейн іде в онлайн",,,
Дэйв сделал лабиринт,8,6.3,6.5,2017,комедия,приключения,1 час 20 минут,Билл Уоттерсон,Билл Уоттерсон,21.01.2017 (мир),,$34 117 (США),,"Butter Stories, Dave Made An LLC, Foton Pictures",Dave Fez um Labirinto,,,
Няня,8,6.3,6.1,2017,комедия,ужасы,1 час 41 минута,МакДжи,Брайан Даффилд,13.10.2017 (мир),,,,"Netflix, Boies Schiller Entertainment, Wonderland Sound and Vision","The Babysittter, A Babá, La Baby-Sitter, La niñera, Детегледачката, Η Νταντά, A bébiszitter, La babysitter, ザ・ベビーシッター, Opiekunka, A Babysitter, Bebisiterka, Pestúnka, 辣手保姆, Bebek Bakıcısı, Нянька, جليسة الأطفال, Cô Giữ Trẻ",Сайт фильма,,
Любовь не по размеру,8,6.3,6.9,2016,комедия,мелодрама,1 час 38 минут,Лоран Тирар,Грегуар Виньерон,12.05.2016 (РФ),,39 476 002 руб. (РФ),Вольга,"VVZ Productions, Gaumont, M6 Films, Saint Sébastien Froissart, Creative Andina, Scope Pictures, Canal+, M6, Ciné+, Région Provence-Alpes-Côte d'Azur, Centre national du cinéma et de l'image animée (CNC)","Up for Love, Un homme à la hauteur, Um Amor à Altura, Veličina nije bitna, Høj af kærlighed, Up for love, Un homme..., Mein ziemlich kleiner Freund, Στάσου στο ύψος σου, Életem NAGY szerelme, Le'hit'ahev me'al ha'rosh, Un amore all'altezza, おとなの恋の測り方, Sakari franču gaumē, Prancuziska porele, Un hombre a la altura, Facet na miarę, Um Homem à Altura, Un hombre de altura, Kärleken är störst, 我的哈比情人, Кохання не за розміром, Dôi Dua Lêch",,,
Про Любовь,8,6.3,4.9,2015,комедия,Россия,1 час 55 минут,Анна Меликян,Анна Меликян,10.12.2015 (РФ),,52 273 978 руб. (РФ),A Company,Кинокомпания «Магнум»,Pro Любовь,Сайт фильма,,
Ч/Б,8,6.3,6.2,2014,драма,комедия,1 час 32 минуты,Евгений Шелякин,Евгений Шелякин,19.03.2015 (РФ),,21 999 519 руб. (РФ),Вольга,RSS Production,Ch/B,,,
Он никогда не умирал,8,6.3,6.6,2015,драма,комедия,1 час 39 минут,Джейсон Кравчик,Джейсон Кравчик,17.03.2015 (мир),,,,Alternate Ending Studios,,,,
Мой мужчина,8,6.3,6.9,1996,драма,комедия,1 час 39 минут,Бертран Блие,Бертран Блие,31.01.1996 (мир),,,,"Canal+, Les Films Alain Sarde, Plateau A, Studio Images 2","Mein Mann, Mein Mann - FYr deine Liebe mach ich alles, My Man",,,
Три девятки,8,6.3,6.4,2016,боевик,триллер,1 час 55 минут,Джон Хиллкоат,Мэтт Кук,03.03.2016 (РФ),,$12 639 297 (США),Парадиз,"Worldview Entertainment, Anonymous Content, MadRiver Pictures","999, Triple Nine, Код: 999, Triplo 9, Codice 999, Psy mafii, Phi Vu 999, Triplo 9: Polícia em Poder da Máfia, Kood 999, Code 999, Κωδικός 999, Tripla kilences, トリプル9 裏切りのコード, Trauksmes signāls 999, Kodas 999, Triplo Nove, Triple 9: Codul strazii, Trostruko 9, Trojna 9, Triple Nueve, 非法999, Kod 999, Три дев'ятки, ثلاث تسعات",,,
Весенние надежды,8,6.3,7.3,2012,драма,комедия,1 час 40 минут,Дэвид Фрэнкел,Ванесса Тэйлор,13.12.2012 (РФ),,14 005 666 руб. (РФ),Вест,"Columbia Pictures, Mandate Pictures, Metro-Goldwyn-Mayer (MGM), Management 360, Escape Artists","Great Hope Springs, Il matrimonio che vorrei, Wie beim ersten Mal, ¿Qué voy a hacer con mi marido?, Любовна терапия, Um Divã para Dois, L'espoir est à Hope Springs, Si de verdad quieres..., Lemmenlomalla, Tous les espoirs sont permis, Pote den einai arga, Začin za brak, Amit még mindig tudni akarsz a szexről, Tikva be'Hope Springs, ¿Qué hago con mi marido?, Dwoje do poprawki, Terapia a Dois, Kako zaciniti zakon, Ask Yeniden, ¿Qué voy hacer con mi marido?",,,
Возвращение героя,8,6.3,6.5,2013,боевик,вестерн,1 час 47 минут,Ким Чжи-ун,Эндрю Кнауэр,21.02.2013 (РФ),45000000 $,$12 050 299 (США),UPI,"CJ Entertainment, Di Bonaventura Pictures","El último desafío, Posljednja bitka, O Último Desafio, Последната битка, Le Dernier Combat, Konecná, Viimane võitlus, Le dernier rempart, Mi mou halas ti mera, Μη μου χαλάς τη μέρα, Erőnek erejével, Omed aharon, The Last Stand - L'ultima sfida, Rasuto Sutando, ラストスタンド, Pēdējā sadursme, Paskutine tvirtove, Likwidator, Ultima reduta, Poslednja bitka, Zadnja bitka, Geçit Yok, Повернення героя, Chot Chan Cuoi Cung, Le Dernier Rempart, Μη Μου Χαλάς τη Μέρα, Paskutinė tvirtovė, 重擊防線, Qahramonning qaytishi, Chốt Chặn Cuối Cùng",Сайт фильмаСайт фильма,,
Хочу как ты,8,6.3,6.1,2011,комедия,фэнтези,1 час 52 минуты,Дэвид Добкин,Скотт Мур,01.09.2011 (РФ),52000000 $,173 316 032 руб. (РФ),UPI,"Universal Pictures, Relativity Media, Original Film, Big Kid Pictures, Rampage VFX","Si fueras yo, Wie ausgewechselt, Размяната, Eu Queria Ter a Sua Vida, V cizí kuzi, Hvis jeg var dig, El cambiazo, Échange standard, Allazoume?, Αλλάζουμε;, U tuđoj koži, Testcsere, Hayim be'hahlafa, Cambio vita, Draugo kailyje, Hvis jeg var deg, Zamiana cial, Cuidado Com o Que Desejas, Zamena, Zamenjava, Hayat Sana Güzel, Хочу як ти, Lui c'est moi, Si Fueras Yo, Kehad vahetusse, チェンジ・アップ　オレはどっちで、アイツもどっち!?, Samainīti vietām, Zamiana ciał, Daca as fi ... tu?, 玩咖尬宅爸, Body Swap Man, Dôi Vai",,,
